Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
CD Labor Consumption,1,100,0,0,0,0,0,0,0,,,,
17000707,1,100,3,3,3,108,70,0,0,Each,0.15175926,Off-White Nylon Unthreaded Spacer,
94000066,1,100,0,0,0,0,0,0,0,,,Analyzer Production Traveler,
94000029,1,100,0,0,0,0,0,0,0,,,"Procedure, QC Release Test, Analyzer",
67000170,1,100,2,2,2,0,0,20,0,Each,,FP A Analyzer Barcode Label,
61000082,1,100,1,1,1,59,49,0,0,Each,5.12,Analyzer IP A Part ID Label,
61000074,1,100,1,1,1,155,145,0,0,Each,4.2,RoHS Compliant Analyzer IP Part ID Label,
61000064,1,100,1,1,1,105,95,0,0,Each,3.01,"Analyzer IP Serial Number Label, cNemko",
61000055,1,100,1,1,1,243,233,0,0,Each,0.59,Biohazard Symbol Label,
40000144,1,100,0,0,0,0,0,0,0,,,CPU2 PMT Calibration 10 pW,
40000132,1,100,0,0,0,0,0,0,0,,,CPU2 PMT Calibration Worksheet,
40000072,1,100,0,0,0,0,0,0,0,,,FP Instrument Test Data Form,
40000069,1,100,0,0,0,0,0,0,0,,,FP Burn-In Data Analysis(BurnInData.xls),
40000065,1,100,0,0,0,0,0,0,0,,,Analyzer QC Release Test,
17000712,1,100,5,5,5,280,220,0,0,Each,0.15896429,"Screw 8-32 x 7/8 SHCS""",
17000708,1,100,1,1,1,9,0,3,50,Each,288.5,Opticon Scanner,
17000700,1,100,1,1,1,90,79,0,0,Each,2.72,"3/8"" NPT x 1/4"" Tubing Elbow",
17000699,1,100,1,1,1,114,103,0,0,Each,0.17350877,"3/8"" x 5/8"" Grommet",
17000696,1,100,11,11,11,671,539,0,0,Each,1.71,"1/8"" X 10-32 Tube Connector",
17000687,1,100,4,4,4,228,180,0,0,Each,0.06061404,"4-40 x 3/4"" Socket Head Cap Screw",
17000650,1,100,2,2,2,52,29,0,0,Each,4.41,"Y Fitting, .25 x .25 x .25",
17000556,1,100,7,7,7,388,310,0,0,Each,0.02159794,"Screw, 4-40 x .625 PHMS",
17000529,1,100,1,1,1,74,62,0,0,Each,1.19,"Connector, 9 Pin IDC 26 AWG",
